,OPX_001,OPX_002,OPX_019,OPX_032,OPX_033,OPX_034,OPX_038,OPX_043,OPX_066,OPX_069,OPX_078,OPX_080,OPX_083,OPX_100,OPX_105,OPX_118,OPX_125,OPX_129,OPX_135,OPX_137,OPX_140,OPX_147,OPX_153,OPX_156,OPX_167,OPX_172,OPX_176,OPX_178,OPX_191,OPX_195,OPX_198,OPX_200,OPX_206,OPX_207,OPX_216,OPX_221,OPX_223,OPX_227,OPX_239,OPX_240,OPX_242,OPX_247,OPX_249,OPX_254,OPX_263,OPX_267,OPX_268,OPX_271,OPX_272,OPX_278,OPX_281,OPX_288,OPX_293,OPX_296,OPX_302,OPX_306,OPX_311,OPX_326,OPX_328_1,OPX_328_2,OPX_331,OPX_335,OPX_336,OPX_347,OPX_348,OPX_355,OPX_357
OPX_140,0.24644819,0.51879895,0.2856474,0.3048547,0.56183046,0.33349085,0.59785026,0.4414878,0.6064895,0.3601597,0.29057842,0.7299898,0.3769439,0.5600307,0.37253165,0.48787746,0.7101519,0.47269288,0.49346405,0.57136333,1.0000101,0.4387606,0.2311093,0.65846324,0.40437764,0.7483758,0.30652675,0.58467597,0.6193721,0.58124244,0.643607,0.58077884,0.4468574,0.4171912,0.56522167,0.71944964,0.28201348,0.48218971,0.42512763,0.45967394,0.5453809,0.5683097,0.47758466,0.64267814,0.486635,0.30508265,0.5125805,0.5648488,0.33382767,0.44713414,0.61324334,0.27694052,0.4714288,0.58561313,0.3680212,0.6445458,0.5937239,0.31546232,0.5562564,0.5503684,0.53843087,0.57766557,0.63268393,0.6009117,0.6568494,0.58373046,0.4146918
OPX_147,0.25756514,0.7454641,0.37611747,0.37233144,0.31820917,0.7707933,0.8387097,0.3954919,0.5480945,0.33597332,0.23450354,0.69240856,0.28653985,0.8356367,0.3563688,0.8294351,0.49084088,0.75117755,0.26728314,0.6531254,0.4387606,1.0000149,0.35624927,0.39696026,0.33152756,0.4889388,0.22931224,0.41851962,0.61539793,0.85714865,0.75076675,0.49500546,0.2642846,0.35683846,0.88576084,0.5300052,0.45279503,0.35769594,0.8637076,0.35891318,0.8538453,0.6424852,0.4149707,0.7096845,0.840814,0.23242366,0.79677683,0.36057752,0.28990072,0.81930685,0.73724174,0.42044497,0.8518535,0.3379268,0.3626547,0.43637407,0.76479733,0.40067682,0.79585767,0.8253939,0.28059405,0.46817923,0.417575,0.53180754,0.35568976,0.31692672,0.88212204
OPX_153,0.22158563,0.35349673,0.8600057,0.48028556,0.26024932,0.44013497,0.32332924,0.40924302,0.27417353,0.54803073,0.24554989,0.31921107,0.43873942,0.4381628,0.2621357,0.39254192,0.29603136,0.53172046,0.26476628,0.34800625,0.2311093,0.35624927,1.0045534,0.2779073,0.3242362,0.24696966,0.2693479,0.18423314,0.36364537,0.3093468,0.386682,0.2881604,0.29685152,0.6482351,0.35200885,0.25101304,0.874181,0.4947623,0.33729643,0.30314693,0.26033965,0.17094038,0.18813385,0.32993564,0.5096025,0.21598576,0.30356246,0.31521025,0.52365375,0.37365434,0.303184,0.85876197,0.39596704,0.23354778,0.7072216,0.29697302,0.42357498,0.8751787,0.33575326,0.3876485,0.29744408,0.4540533,0.21450749,0.3057347,0.25056198,0.17749757,0.3387375
OPX_156,0.28792903,0.47512704,0.28754976,0.27989575,0.597334,0.38232586,0.5602635,0.4119907,0.5465554,0.35662818,0.29585207,0.69316614,0.48368812,0.47338724,0.40499806,0.48424196,0.6768652,0.48260075,0.51353467,0.4588456,0.65846324,0.39696026,0.2779073,1.0000316,0.4774204,0.53397024,0.32827932,0.527317,0.6298405,0.491561,0.627757,0.53291386,0.42350858,0.46401873,0.49619696,0.73691547,0.32878223,0.4991099,0.34299988,0.41163337,0.4499994,0.48684308,0.37834534,0.64462453,0.46157438,0.2787922,0.5451964,0.61719203,0.29207134,0.37993965,0.46416575,0.358886,0.40074986,0.58981353,0.32316846,0.6313117,0.513484,0.33161113,0.4678345,0.49200028,0.58494616,0.5214335,0.52945316,0.64571416,0.565052,0.54536855,0.14024977
OPX_167,0.29323766,0.35790172,0.35716492,0.4329758,0.5361076,0.33045137,0.39326358,0.52074444,0.36233917,0.36000955,0.35503206,0.48205057,0.45124376,0.42982703,0.36898184,0.42887396,0.4187976,0.4405629,0.3812162,0.365995,0.40437764,0.33152756,0.3242362,0.4774204,1.001317,0.31785822,0.36982557,0.28237063,0.3700612,0.34955698,0.45905107,0.40363532,0.4610093,0.5344744,0.36605644,0.4179502,0.38590842,0.52691066,0.35030717,0.5535505,0.31038725,0.24818341,0.2815376,0.4583667,0.43123376,0.24504906,0.34871674,0.50076556,0.4180892,0.37567353,0.3586603,0.35303456,0.35328823,0.40764168,0.36206186,0.48067033,0.44011393,0.37188354,0.32471818,0.353128,0.54003495,0.54299235,0.2979101,0.47370055,0.41558662,0.43360528,0.32956514
OPX_172,0.24263145,0.6341027,0.29839337,0.2431066,0.4343571,0.35705203,0.5601164,0.46034324,0.602955,0.39452276,0.2991094,0.6964879,0.30596066,0.519184,0.32940102,0.47908705,0.68525875,0.4622692,0.38763934,0.5992256,0.7483758,0.4889388,0.24696966,0.53397024,0.31785822,1.0000204,0.23777376,0.60168767,0.54828024,0.59428567,0.6296798,0.5665182,0.3995276,0.38106316,0.5937835,0.6292014,0.32403594,0.5277863,0.41094583,0.3191606,0.59322757,0.6605959,0.54556096,0.5413058,0.48263377,0.35036767,0.48466152,0.47360957,0.33017036,0.44008607,0.51997435,0.3292128,0.45573938,0.49524456,0.40225255,0.5132893,0.57151705,0.36065322,0.5674057,0.58346,0.3916763,0.52091956,0.6152441,0.56141037,0.60368633,0.40753108,0.4477882
OPX_176,0.28770667,0.26817977,0.26260072,0.3233357,0.34041977,0.22308543,0.2726441,0.28501105,0.23323734,0.25446922,0.32937586,0.32678252,0.40653676,0.30046928,0.32310304,0.26580524,0.324413,0.29000926,0.29864395,0.2542882,0.30652675,0.22931224,0.2693479,0.32827932,0.36982557,0.23777376,1.0000414,0.215571,0.3632249,0.2552734,0.31303704,0.34983593,0.34251177,0.40215635,0.24650726,0.27283135,0.30453795,0.3192209,0.22607121,0.35011634,0.21517646,0.15905252,0.22564936,0.3351851,0.32436743,0.2114222,0.24096483,0.45710284,0.24217376,0.26091173,0.2690592,0.31166843,0.2575882,0.3624944,0.25830323,0.36066917,0.3437047,0.28901625,0.27734506,0.27754593,0.38324934,0.46378872,0.31369168,0.36857408,0.35094172,0.350556,0.24268845
OPX_178,0.25071123,0.46384817,0.24966991,0.23071837,0.33241785,0.286866,0.58208776,0.3702616,0.66357267,0.45434725,0.24359263,0.60982585,0.26727504,0.5200952,0.39197594,0.4454412,0.77299297,0.35497645,0.28389758,0.60843,0.58467597,0.41851962,0.18423314,0.527317,0.28237063,0.60168767,0.215571,1.0000902,0.4383754,0.49057403,0.5510132,0.44821662,0.3915944,0.33079264,0.5136932,0.60441744,0.24634953,0.48274696,0.36418024,0.2791956,0.5790442,0.69140196,0.7390896,0.5282048,0.4082685,0.20075755,0.37763017,0.4036088,0.3434437,0.35965455,0.45203748,0.29445487,0.44714004,0.53711355,0.40526235,0.59338063,0.45294082,0.29579914,0.5407189,0.51737654,0.43073666,0.55050015,0.6919992,0.65881306,0.47759297,0.34997714,0.40669855
OPX_191,0.29326206,0.65357244,0.38764256,0.44147852,0.49101463,0.5134111,0.6927115,0.41462103,0.47807524,0.38669354,0.336367,0.6881391,0.5109235,0.71521115,0.42872545,0.63368666,0.6263644,0.6554869,0.45965075,0.5247184,0.6193721,0.61539793,0.36364537,0.6298405,0.3700612,0.54828024,0.3632249,0.4383754,1.0000035,0.6766148,0.7620193,0.7327304,0.37224752,0.5065857,0.6680346,0.6471371,0.3997795,0.4792046,0.5410218,0.44651353,0.6033102,0.4371788,0.41127533,0.7523939,0.7304271,0.3322872,0.72911716,0.57258403,0.32727224,0.6335972,0.70771354,0.44608924,0.63407344,0.50541914,0.3908261,0.5543114,0.74908566,0.40112245,0.65900457,0.6736061,0.47679177,0.6015825,0.5742185,0.602588,0.49723598,0.5185398,0.57990706
OPX_195,0.23445512,0.8033901,0.36793286,0.3588823,0.37949896,0.6824681,0.84868836,0.4067944,0.66052437,0.3851576,0.21830991,0.7739885,0.2945591,0.8090111,0.34262654,0.79351187,0.5863705,0.72277564,0.33892527,0.6941117,0.58124244,0.85714865,0.3093468,0.491561,0.34955698,0.59428567,0.2552734,0.49057403,0.6766148,1.0000318,0.7675229,0.51082635,0.28309232,0.3588136,0.91343856,0.6094309,0.39842996,0.41086298,0.75507444,0.37361985,0.8594835,0.7071816,0.4426755,0.79375577,0.75337434,0.22450745,0.86741626,0.36526453,0.32795715,0.76893896,0.8207042,0.38653696,0.8168116,0.37863773,0.3994093,0.4989954,0.80708086,0.38657942,0.8629572,0.8725823,0.34422556,0.49072653,0.438074,0.56721914,0.43982136,0.41456893,0.79325503
